utc,x_teme_m,y_teme_m,z_teme_m,vx_teme_mps,vy_teme_mps,vz_teme_mps,x_ecef_m,y_ecef_m,z_ecef_m,vx_ecef_mps,vy_ecef_mps,vz_ecef_mps,lat_deg,lon_deg,alt_m
2026-03-27T00:33:30+00:00,5065870.594830842,-3116884.395666873,-3296143.9955083895,,,,-4246619.01232704,4164641.6632966106,-3296143.9955083895,,,,-29.14685918750752,135.5583951785179,427094.6271025464
2026-03-27T00:34:00+00:00,5081679.693562873,-2935374.416918882,-3435872.981841021,,,,-4293624.493785205,4000584.9799546637,-3435872.981841021,,,,-30.505254905065296,137.02345342638853,427716.8258689903
2026-03-27T00:34:30+00:00,5091694.850009678,-2750517.6281716395,-3571673.301935809,,,,-4336482.381797923,3832182.696695741,-3571673.301935809,,,,-31.843302706200987,138.53272151808045,428336.85704726353
2026-03-27T00:35:00+00:00,5095905.959227593,-2562525.5050177625,-3703390.5997003946,,,,-4375163.768308806,3659608.7918841434,-3703390.5997003946,,,,-33.15934633174917,140.0891800900248,428952.7313582329
2026-03-27T00:35:30+00:00,5094309.523383026,-2371612.99459898,-3830875.246518064,,,,-4409643.725185794,3483041.7644799054,-3830875.246518064,,,,-34.451616953607264,141.6958791274826,429562.4577080691
2026-03-27T00:36:00+00:00,5086908.647433131,-2177998.2679128028,-3953982.505245504,,,,-4439901.306340114,3302664.4444025005,-3953982.505245504,,,,-35.718225672344026,143.35592069942913,430164.05132736545
2026-03-27T00:36:30+00:00,5073713.027406612,-1981902.4692954507,-4072572.688175604,,,,-4465919.54612812,3118663.79877437,-4072572.688175604,,,,-36.95715641513915,145.0724355983956,430755.54187820386
2026-03-27T00:37:00+00:00,5054738.9313642755,-1783549.463384633,-4186511.308843041,,,,-4487685.45410641,2931230.7342805704,-4186511.308843041,,,,-38.16625953032371,146.84855278405382,431334.9814938344
2026-03-27T00:37:30+00:00,5030009.173126301,-1583165.579865872,-4295669.227558421,,,,-4505190.006235381,2740559.895846763,-4295669.227558421,,,,-39.343246450679835,148.68736046774336,431900.45271643903
2026-03-27T00:38:00+00:00,4999553.078859356,-1380979.356294784,-4399922.790570914,,,,-4518428.132472695,2546849.462085213,-4399922.790570914,,,,-40.48568588272504,150.59185766421012,432450.07629922405
2026-03-27T00:38:30+00:00,4963406.446622763,-1177221.2792880067,-4499153.962765997,,,,-4527398.701176558,2350300.937192875,-4499153.962765997,,,,-41.591002070757085,152.56489512170708,432982.01884035114
2026-03-27T00:39:00+00:00,4921611.49897763,-972123.5243655375,-4593250.453816581,,,,-4532104.499937966,2151118.940257781,-4593250.453816581,,,,-42.65647577793736,154.60910471840657,433494.5002170149
2026-03-27T00:39:30+00:00,4874216.828767737,-765919.6947240868,-4682105.837713562,,,,-4532552.207553052,1949511.0049483725,-4682105.837713562,,,,-43.67924871462216,156.72681661238897,433985.80078958254
2026-03-27T00:40:00+00:00,4821277.338184049,-558844.5592117157,-4765619.665611416,,,,-4528752.391992997,1745687.310220623,-4765619.665611416,,,,-44.65633221578513,158.91996515073362,434454.2683466822
2026-03-27T00:40:30+00:00,4762854.171229071,-351133.78977203515,-4843697.571930677,,,,-4520719.445696598,1539860.5417421656,-4843697.571930677,,,,-45.58462101008815,161.18998180559964,434898.32476390805
2026-03-27T00:41:00+00:00,4699014.639698397,-143023.69861425355,-4916251.373668616,,,,-4508471.578619564,1332245.6182118882,-4916251.373668616,,,,-46.46091291476855,163.5376803401466,435316.4723498719
2026-03-27T00:41:30+00:00,4629832.142800469,65249.024635509006,-4983199.162874075,,,,-4492030.777382437,1123059.482295219,-4983199.162874075,,,,-47.28193521179185,165.96313483544935,435707.2998552881
2026-03-27T00:42:00+00:00,4555386.08053604,273447.57555661525,-5044465.392250059,,,,-4471422.767881315,912520.8765786644,-5044465.392250059,,,,-48.04437828977279,168.46555626766173,436069.4881220404
2026-03-27T00:42:30+00:00,4475761.760960814,481335.2970884829,-5099980.953852372,,,,-4446676.975135306,700850.1180022932,-5099980.953852372,,,,-48.74493685347763,171.04317378952697,436401.8153509861
2026-03-27T00:43:00+00:00,4391050.301455047,688675.9409837263,-5149683.2508582175,,,,-4417826.480412753,488268.87117872515,-5149683.2508582175,,,,-49.38035859641096,173.693128616796,436703.1619688794
2026-03-27T00:43:30+00:00,4301348.52412486,895233.9283299429,-5193516.262382546,,,,-4384907.975806286,274999.92024470214,-5193516.262382546,,,,-49.94749970372634,176.41138970764638,436972.5150764473
2026-03-27T00:44:00+00:00,4206758.84546039,1100774.6089161797,-5231430.60132418,,,,-4347961.716199652,61266.94015511,-5231430.60132418,,,,-50.44338592411859,179.19270108165074,437208.97246141266
2026-03-27T00:44:30+00:00,4107389.1603753027,1305064.5192259874,-5263383.565227346,,,,-4307031.468800402,-152705.73294457234,-5263383.565227346,,,,-50.865277266733564,-177.96942960086463,437411.74616194237
2026-03-27T00:45:00+00:00,4003352.7207528637,1507871.6388419927,-5289339.18014693,,,,-4262164.460264856,-366693.33187090023,-5289339.18014693,,,,-51.210733714384894,-175.0826930101964,437580.1655678088
2026-03-27T00:45:30+00:00,3894768.008623393,1708965.6450512235,-5309268.237508417,,,,-4213411.321489234,-580470.8889409677,-5309268.237508417,,,,-51.47767879006129,-172.1558852113039,437713.68004818354
2026-03-27T00:46:00+00:00,3781758.6040977375,1908118.1654444456,-5323148.323955913,,,,-4160826.0301307715,-793813.4667241111,-5323148.323955913,,,,-51.66445747072257,-169.19875833037224,437811.8610969363
2026-03-27T00:46:30+00:00,3664453.0481790346,2105103.0283088353,-5330963.844183323,,,,-4104465.85091858,-1006496.3888394556,-5330963.844183323,,,,-51.76988490116106,-166.2218181973377,437874.403987783
2026-03-27T00:47:00+00:00,3542984.7005921872,2299696.510588036,-5332706.036744984,,,,-4044391.2738200775,-1218295.4706019023,-5332706.036744984,,,,-51.79328267932504,-163.2360775110632,437901.1289336663
2026-03-27T00:47:30+00:00,3417491.592712751,2491677.5832805606,-5328372.982845826,,,,-3980665.9500851403,-1428987.249459546,-5328372.982845826,,,,-51.73450016947679,-160.2527777994834,437891.9817463923
2026-03-27T00:48:00+00:00,3288116.2757875337,2680828.15396704,-5317969.608107393,,,,-3913356.626322665,-1638349.2147334462,-5317969.608107393,,,,-51.593919295485904,-157.28309696115355,437847.03399421927
2026-03-27T00:48:30+00:00,3155005.6645119335,2866933.306369689,-5301507.677313861,,,,-3842533.076463801,-1846160.037092088,-5301507.677313861,,,,-51.37244246067797,-154.33786083288462,437766.4826570675
2026-03-27T00:49:00+00:00,3018310.876119102,3049781.536698528,-5279005.782137918,,,,-3768268.0318890414,-2052199.7968836233,-5279005.782137918,,,,-51.07146448075996,-151.42727677650296,437650.6492805844
2026-03-27T00:49:30+00:00,2878187.065093386,3229164.9866090594,-5250489.321848053,,,,-3690637.109599243,-2256250.211670175,-5250489.321848053,,,,-50.69283054150054,-148.56070473491235,437499.9786321223
2026-03-27T00:50:00+00:00,2734793.2536841733,3404879.6725142635,-5215990.477011705,,,,-3609718.7385629206,-2458094.862523622,-5215990.477011705,,,,-50.23878306491721,-145.7464770935046,437315.0368635785
2026-03-27T00:50:30+00:00,2588292.158252834,3576725.7111795717,-5175548.1761809075,,,,-3525594.084214017,-2657519.4190901504,-5175548.1761809075,,,,-49.71190089656019,-142.99177365830127,437096.5091874618
2026-03-27T00:51:00+00:00,2438850.0116960746,3744507.5412589824,-5129208.055589334,,,,-3438346.9795789383,-2854311.8529893896,-5129208.055589334,,,,-49.115034385454045,-140.30255311081442,436845.1970748296
