utc,ground_station,visible,elevation_deg,range_km
2026-03-27T01:04:30+00:00,Daejeon,0,-69.267,12376.823
2026-03-27T01:05:00+00:00,Seoul,0,-69.174,12370.277
2026-03-27T01:05:00+00:00,Daejeon,0,-69.257,12376.472
2026-03-27T01:05:30+00:00,Seoul,0,-69.094,12364.521
2026-03-27T01:05:30+00:00,Daejeon,0,-69.209,12373.198
2026-03-27T01:06:00+00:00,Seoul,0,-68.976,12355.856
2026-03-27T01:06:00+00:00,Daejeon,0,-69.123,12367.011
2026-03-27T01:06:30+00:00,Seoul,0,-68.821,12344.293
2026-03-27T01:06:30+00:00,Daejeon,0,-68.999,12357.920
2026-03-27T01:07:00+00:00,Seoul,0,-68.631,12329.843
2026-03-27T01:07:00+00:00,Daejeon,0,-68.839,12345.937
2026-03-27T01:07:30+00:00,Seoul,0,-68.405,12312.519
2026-03-27T01:07:30+00:00,Daejeon,0,-68.644,12331.072
2026-03-27T01:08:00+00:00,Seoul,0,-68.147,12292.335
2026-03-27T01:08:00+00:00,Daejeon,0,-68.414,12313.341
2026-03-27T01:08:30+00:00,Seoul,0,-67.856,12269.308
2026-03-27T01:08:30+00:00,Daejeon,0,-68.150,12292.756
2026-03-27T01:09:00+00:00,Seoul,0,-67.534,12243.453
2026-03-27T01:09:00+00:00,Daejeon,0,-67.855,12269.334
2026-03-27T01:09:30+00:00,Seoul,0,-67.183,12214.789
2026-03-27T01:09:30+00:00,Daejeon,0,-67.528,12243.093
2026-03-27T01:10:00+00:00,Seoul,0,-66.804,12183.335
2026-03-27T01:10:00+00:00,Daejeon,0,-67.173,12214.049
2026-03-27T01:10:30+00:00,Seoul,0,-66.399,12149.111
2026-03-27T01:10:30+00:00,Daejeon,0,-66.790,12182.223
2026-03-27T01:11:00+00:00,Seoul,0,-65.968,12112.138
2026-03-27T01:11:00+00:00,Daejeon,0,-66.381,12147.634
2026-03-27T01:11:30+00:00,Seoul,0,-65.514,12072.441
2026-03-27T01:11:30+00:00,Daejeon,0,-65.947,12110.306
2026-03-27T01:12:00+00:00,Seoul,0,-65.038,12030.042
2026-03-27T01:12:00+00:00,Daejeon,0,-65.490,12070.261
2026-03-27T01:12:30+00:00,Seoul,0,-64.541,11984.968
